field,replicate,architecture,target_su4_shot_gate_exposure,achieved_su4_shot_gate_exposure,achieved_modeled_entangling_exposure,achieved_training_shots,objective_queries,fidelity,zz_long_range_mae,energy_density_error,half_chain_entropy_error,joint_failure,physical_su4_blocks,independent_coordinates
0.9,83,MERA_PM225,2600000000,2604160000,7812480000,100160000,17008,0.9324249814360525,0.13921043343865894,0.01450961349043478,0.0060520148296234755,0.06757501856394688,26,225
0.9,83,MPS,2600000000,2601600000,7804800000,173440000,20672,0.9153662131401311,0.1768491652876129,0.015353815833586415,0.09791413595859477,0.08463378685986955,15,225
0.9,84,MERA_PM225,2600000000,2604160000,7812480000,100160000,17008,0.9196724256545101,0.1673834002851406,0.01555120406173316,0.03346884703983577,0.08032757434549187,26,225
0.9,84,MPS,2600000000,2601600000,7804800000,173440000,20672,0.886254955879277,0.2144741426303249,0.01713111727634531,0.1246749389983337,0.11374504412072295,15,225
0.9,85,MERA_PM225,2600000000,2604160000,7812480000,100160000,17008,0.914502042971189,0.04055226568664555,0.01614404349138865,0.07788083124550982,0.0854979570288128,26,225
0.9,85,MPS,2600000000,2601600000,7804800000,173440000,20672,0.9403783716602827,0.15819018308978375,0.009958105520464278,0.09669226383238894,0.05962162833971896,15,225
0.9,86,MERA_PM225,2600000000,2604160000,7812480000,100160000,17008,0.9284568350361333,0.13464070061434788,0.013466708396017602,0.022962686274215494,0.07154316496386726,26,225
0.9,86,MPS,2600000000,2601600000,7804800000,173440000,20672,0.9070910280307678,0.1653582373198858,0.016633086834693556,0.05842896323269808,0.09290897196923265,15,225
0.9,87,MERA_PM225,2600000000,2604160000,7812480000,100160000,17008,0.9373117007394154,0.10779433387781467,0.014901905961630435,0.03748795388038206,0.06268829926058439,26,225
0.9,87,MPS,2600000000,2601600000,7804800000,173440000,20672,0.7954537802607692,0.27016639109289153,0.0286989281939809,0.17367517900864038,0.20454621973923137,15,225
0.9,88,MERA_PM225,2600000000,2604160000,7812480000,100160000,17008,0.9350784657242982,0.13401127653312767,0.014121378792399053,0.028982976618202816,0.06492153427570235,26,225
0.9,88,MPS,2600000000,2601600000,7804800000,173440000,20672,0.9126406488032772,0.19129501906806945,0.013803169556700912,0.09473765585956417,0.08735935119672222,15,225
0.9,89,MERA_PM225,2600000000,2604160000,7812480000,100160000,17008,0.9051613817054934,0.11493737129875091,0.016703768655069062,0.03810386061170823,0.09483861829450713,26,225
0.9,89,MPS,2600000000,2601600000,7804800000,173440000,20672,0.9284453209417384,0.14971895568740184,0.012326121777947341,0.05584806754505156,0.07155467905826085,15,225
