field,restart,architecture,converged,completed_steps,final_gradient_norm,elapsed_seconds,fidelity,zz_long_range_mae,energy_density_error,half_chain_entropy_error,joint_failure,eta_sum
0.9,213,MERA_PM225,False,5000,0.00010805676251367721,361.17061949998606,0.9891965199826728,0.008508512476465446,0.0021493087988491144,0.0004139145293770019,0.010803480017327782,0.017261011464584072
0.9,213,MPS,False,5000,8.832620879367855e-05,203.19019516697153,0.9796743884841687,0.0857109557243578,0.0037176470273292406,0.06072417431014887,0.02032561151583112,0.033630875118925256
0.9,214,MERA_PM225,False,5000,0.00020724951508964363,381.7173845419893,0.9934156486457105,0.0093346066221911,0.0012933417421017168,0.0022064472849208094,0.006584351354289031,0.011110918313435306
0.9,214,MPS,False,5000,0.0005019245366634103,213.59806354204193,0.9796786485790958,0.08548382758283407,0.003724704443924809,0.06070715344346811,0.020321351420902634,0.03411925332311609
0.9,215,MERA_PM225,False,5000,0.00022183689257143237,387.97536312497687,0.9930941252978116,0.01109758751837454,0.0014025783413467163,0.011165626717398736,0.006905874702190173,0.013013613460779559
0.9,215,MPS,False,5000,0.00020706643175649676,218.8556010000175,0.9796789381774661,0.0856673463004631,0.003719551752944694,0.06064125756249095,0.02032106182253257,0.03363199293576397
0.9,216,MERA_PM225,False,5000,0.00013697438467958484,390.4837873330107,0.98174331281245,0.023897448055661717,0.0032067280570591272,0.04823061755924174,0.018256687187549914,0.025933107214806444
0.9,216,MPS,False,5000,0.00017946240122683542,220.70932574989274,0.9796749157503193,0.08570944532776037,0.003717899267224878,0.060716530839669214,0.020325084249680048,0.03357943416089184
0.9,217,MERA_PM225,False,5000,0.00046904518114679935,395.3802017919952,0.9813477678066814,0.0248911839672533,0.003242288077992983,0.04402009386450656,0.01865223219331802,0.026743255567210515
0.9,217,MPS,False,5000,0.00019219896775330857,223.1501642499352,0.9796729721746236,0.08568990982872648,0.0037192435934898516,0.06077027943575908,0.020327027825375654,0.03368190604519576
0.9,218,MERA_PM225,False,5000,0.0002530513429663609,399.49351195804775,0.9825200699628894,0.06372623110631329,0.0028634233919435648,0.015074306883670174,0.017479930037111346,0.024601515858199176
0.9,218,MPS,False,5000,9.549478986637004e-05,225.94655695802066,0.9796753728698944,0.08570506401233266,0.003718422090737361,0.0607254944757496,0.020324627130106743,0.03354971781466386
0.9,219,MERA_PM225,False,5000,0.00011071020046575984,400.3053629579954,0.9934677419254588,0.009553166961894233,0.0012935543534788874,0.0010738071593349163,0.006532258074540831,0.011083501860710138
0.9,219,MPS,False,5000,0.00011919939364333579,225.84785949997604,0.9796730769833123,0.08572188093006466,0.0037180789683113336,0.06076634886115928,0.020326923016687704,0.033568476765340555
1.0,200,MERA_PM225,False,5000,0.00011898503655513538,407.8632650419604,0.9930477207608432,0.03362776311640502,0.0013706696419899522,0.009878645788044649,0.006952279239157089,0.010769691151140336
1.0,200,MPS,False,5000,0.000334841255800119,228.214664041996,0.9884603678183067,0.06109310755027148,0.002190707536697367,0.038913536035589,0.011539632181693071,0.01972711444923517
